price,locality,property_type,bedrooms,brand_new,furnished_status,builder,project_name,user_type,floor,date_posted,move_in,area_sqft,price_persqft
4927000.0,Adibatla,Apartment,2,New Property,Unfurnished,ELV Projects Private Limited,ELV Cosmopolis,Builder,,2021-08-11,,1285.0,3834.241245136187
7988400.0,Manikonda,Apartment,2,New Property,Unfurnished,AR Infra and Developers,AR The Nest,Builder,,2021-08-17,2021-08-01,1268.0,6300.0
8625000.0,Hitech City,Apartment,2,New Property,Unfurnished,Silversand Infratech Pvt. Ltd,Silversand Cyberdyne 2,Builder,,2021-07-30,2021-08-01,1150.0,7500.0
4085000.0,Aminpur,Apartment,2,New Property,Unfurnished,Urbanrise,Spring Is In The Air,Builder,,2021-07-23,2023-01-01,918.0,4449.891067538127
13549250.0,Shaikpet,Apartment,3,New Property,Unfurnished,Sri Aditya Homes Pvt. Ltd.,Aditya Athena,Builder,,2021-08-10,2022-12-01,1895.0,7150.0
7836000.0,Moti Nagar,Apartment,2,New Property,Unfurnished,BEL,Brigade Citadel,Builder,,2021-08-13,2025-09-01,1174.0,6674.616695059625
7750000.0,LB Nagar ,Apartment,2,New Property,Unfurnished,SNR Nirman India Pvt. Ltd.,SNR Sri Sri Kala Kuteers Gold,Builder,,2021-08-09,,1250.0,6200.0
5252000.0,Tellapur,Apartment,2,New Property,Unfurnished,Muppa Projects India Pvt. Ltd.,Muppas Melody,Builder,,2021-08-14,2023-09-01,1010.0,5200.0
7200000.0,Kompally,Apartment,2,New Property,Unfurnished,Manbhum Construction Co. Pvt. Ltd.,Manbhum Home Tree,Builder,,2021-08-10,2023-12-01,1249.0,5764.611689351481
9597696.0,Srisailam Highway,Villa,3,New Property,Unfurnished,Subhashini Signature Services Pvt. Ltd.,S Cube County,Builder,,2021-08-06,2024-07-01,2193.0,4376.514363885089
7923149.0,Bachupally,Apartment,3,New Property,Semi-Furnished,Risinia Builders,Risinia Skyon,Builder,,2021-08-18,2022-12-01,1651.0,4799.0
5927790.0,Miyapur ,Apartment,2,New Property,Unfurnished,Aspire Spaces Pvt Ltd.,AMEYA,Builder,,2021-08-18,2024-12-01,1210.0,4899.0
9980685.0,Kokapet,Apartment,3,New Property,Unfurnished,Sivaa Shakthi Constructions,The Lawnz,Builder,2,2021-08-04,2021-08-01,1815.0,5499.0
7317516.0,Alkapur Township Manikonda,Apartment,2,New Property,Semi-Furnished,Anuhar Homes Pvt. Ltd.,Rami Reddy Towers,Builder,,2021-07-24,2022-09-01,1284.0,5699.0
5751000.0,Uppal ,Apartment,2,New Property,Unfurnished,Vasavi Group,Vasavi Metropolis,Builder,,2021-08-10,2024-12-01,1065.0,5400.0
12636000.0,Tellapur,Apartment,3,New Property,Semi-Furnished,Ananda Homes,The Ozone Heights,Builder,,2021-07-28,2021-12-01,2430.0,5200.0
9670000.0,Chandanagar ,Apartment,2,New Property,Unfurnished,Sharvani Ventures and Avenues Pvt Ltd,Sree Hemadurga Paradise,Builder,,2021-05-05,2023-12-01,1363.0,7094.644167278063
7323215.0,Hyder Nagar ,Apartment,2,New Property,Unfurnished,Vertex Homes Pvt. Ltd.,Vertex Pristine,Builder,,2021-07-26,2023-06-01,1285.0,5699.0
12540000.0,Pragathi Nagar Kukatpally,Apartment,3,New Property,Unfurnished,Makuta Developers & Infrastructure Pvt. Ltd.,My Space,Builder,,2021-07-12,2021-08-01,2200.0,5700.0
6841009.0,Tellapur,Apartment,2,New Property,Unfurnished,Aakriti Constructions & Developers Pvt. Ltd.,Aakriti Cyan,Builder,,2021-08-02,2023-12-01,1291.0,5299.0
8696600.0,Manikonda,Apartment,2,New Property,Unfurnished,The Botanika,Ambience Courtyard,Builder,,2021-08-11,2023-12-01,1340.0,6490.0
7160000.0,Bachupally,Apartment,2,New Property,Unfurnished,Fortune Green Homes,Mayura,Builder,,2021-07-01,2022-05-01,1193.0,6001.676445934619
14100000.0,Kompally,Villa,3,New Property,Unfurnished,Saket Engineers Pvt. Ltd.,Saket Bhusatva,Builder,,2021-08-17,2023-03-01,1833.0,7692.307692307692
7308000.0,Toli Chowki,Apartment,2,New Property,Unfurnished,Reliance Builders,Reliance Jubilee,Builder,7,2021-08-16,2021-08-01,1260.0,5800.0
10022210.0,Nagole,Apartment,3,New Property,Unfurnished,Maruthi Rudra Vijetha Projects,Ecopolitan,Builder,,2021-08-10,2023-06-01,1790.0,5599.0
1890000.0,Shamirpet,Apartment,2,New Property,Semi-Furnished,S B Avenues Pvt Ltd,Happy Homes II,Builder,2,2021-08-03,2024-06-01,1050.0,1800.0
